Date,Open,High,Low,Close,Volume,Change_Pct
2021-07-22,13.100000,13.100000,13.100000,13.100000,0.000000,
2021-07-25,13.300000,13.500000,13.300000,13.500000,0.599479,3.053432
2021-07-26,13.450000,13.450000,13.200000,13.350000,0.521254,-1.111108
2021-07-27,13.250000,13.500000,13.250000,13.500000,0.980238,1.123593
2021-07-28,13.300000,13.500000,13.200000,13.400000,0.658467,-0.740744
2021-07-29,13.450000,13.550000,13.250000,13.400000,1.302440,0.000000
2021-08-01,13.400000,13.450000,13.300000,13.300000,0.579966,-0.746264
2021-08-02,13.300000,13.500000,13.200000,13.500000,0.666540,1.503758
2021-08-03,13.500000,13.500000,13.300000,13.400000,0.788148,-0.740744
2021-08-04,13.450000,13.450000,13.250000,13.250000,0.383873,-1.119400
2021-08-05,13.450000,13.450000,13.200000,13.400000,0.861150,1.132073
2021-08-08,13.450000,13.450000,13.350000,13.350000,0.050154,-0.373129
2021-08-09,13.400000,13.600000,13.300000,13.600000,0.670876,1.872659
2021-08-10,13.550000,13.600000,13.550000,13.600000,0.484551,0.000000
2021-08-11,13.600000,13.600000,13.250000,13.400000,0.830651,-1.470594
2021-08-12,13.400000,13.400000,13.400000,13.400000,0.000000,0.000000
2021-08-15,13.450000,13.500000,13.250000,13.400000,0.276342,0.000000
2021-08-16,13.400000,13.700000,13.400000,13.700000,0.937989,2.238807
2021-08-17,13.650000,13.700000,13.550000,13.700000,0.984959,0.000000
2021-08-18,13.700000,13.850000,13.500000,13.850000,1.382422,1.094895
2021-08-19,13.750000,13.750000,13.500000,13.500000,1.000159,-2.527078
2021-08-22,13.500000,13.650000,13.500000,13.650000,0.157305,1.111108
2021-08-23,13.650000,13.650000,13.500000,13.600000,0.675167,-0.366295
2021-08-24,13.600000,13.800000,13.600000,13.800000,0.791551,1.470587
2021-08-25,13.750000,13.900000,13.600000,13.900000,1.543319,0.724634
2021-08-26,13.900000,13.900000,13.750000,13.900000,0.525081,0.000000
2021-08-29,13.800000,13.950000,13.800000,13.900000,0.344638,0.000000
2021-08-30,13.900000,13.900000,13.800000,13.900000,0.922361,0.000000
2021-08-31,13.800000,13.850000,13.600000,13.850000,2.020570,-0.359707
2021-09-01,13.850000,13.900000,13.700000,13.900000,0.345954,0.361005
2021-09-02,13.700000,13.900000,13.650000,13.900000,0.699448,0.000000
2021-09-05,13.900000,13.900000,13.800000,13.900000,0.410527,0.000000
2021-09-06,13.850000,13.900000,13.800000,13.900000,0.434090,0.000000
2021-09-07,13.900000,13.900000,13.800000,13.900000,0.488115,0.000000
2021-09-08,13.850000,13.950000,13.850000,13.950000,0.725675,0.359714
2021-09-09,13.850000,14.050000,13.850000,14.000000,1.671850,0.358424
2021-09-12,14.000000,14.050000,14.000000,14.050000,0.378597,0.357144
2021-09-13,14.000000,14.100000,13.950000,14.100000,1.274123,0.355873
2021-09-14,14.050000,14.100000,14.000000,14.050000,3.105236,-0.354611
2021-09-15,14.000000,14.000000,13.800000,13.900000,1.046517,-1.067620
2021-09-16,13.900000,14.250000,13.800000,14.250000,8.424538,2.517988
2021-09-19,14.200000,14.350000,14.200000,14.350000,1.565144,0.701757
2021-09-20,14.250000,14.300000,14.150000,14.150000,0.677503,-1.393734
2021-09-21,14.100000,14.150000,13.900000,13.900000,1.087552,-1.766784
2021-09-22,13.900000,14.050000,13.900000,14.000000,0.410411,0.719427
2021-09-23,14.000000,14.050000,13.950000,14.000000,0.752233,0.000000
2021-09-26,14.000000,14.050000,13.950000,14.050000,0.121726,0.357144
2021-09-27,13.950000,13.950000,13.800000,13.800000,0.863913,-1.779359
2021-09-28,13.800000,14.050000,13.800000,14.050000,1.129518,1.811594
2021-09-29,13.950000,14.100000,13.950000,14.050000,0.812700,0.000000
2021-09-30,14.000000,14.200000,13.950000,14.200000,2.138546,1.067613
2021-10-03,14.150000,14.250000,14.100000,14.250000,1.978933,0.352114
2021-10-04,14.200000,14.200000,13.950000,13.950000,1.575577,-2.105264
2021-10-05,13.900000,13.900000,13.250000,13.400000,8.975168,-3.942654
2021-10-06,13.000000,13.200000,12.850000,12.900000,4.333447,-3.731343
2021-10-07,13.050000,13.150000,12.850000,12.850000,2.318475,-0.387591
2021-10-10,12.950000,13.000000,12.850000,13.000000,0.665596,1.167312
2021-10-11,13.100000,13.200000,13.050000,13.100000,2.343250,0.769234
2021-10-12,13.100000,13.400000,13.100000,13.400000,1.457001,2.290070
2021-10-13,13.500000,13.600000,13.350000,13.450000,1.898880,0.373136
2021-10-14,13.450000,13.700000,13.450000,13.700000,1.683662,1.858736
2021-10-17,13.600000,13.750000,13.600000,13.750000,1.042624,0.364965
2021-10-18,13.700000,13.800000,13.550000,13.800000,1.383657,0.363638
2021-10-19,13.800000,13.850000,13.650000,13.700000,3.974863,-0.724640
2021-10-20,13.700000,13.850000,13.700000,13.800000,2.169004,0.729930
2021-10-21,13.800000,13.800000,13.800000,13.800000,0.000000,0.000000
2021-10-24,13.900000,13.900000,13.750000,13.900000,0.395961,0.724634
2021-10-25,13.800000,13.800000,13.650000,13.700000,1.512922,-1.438848
2021-10-26,13.700000,13.900000,13.700000,13.800000,3.357735,0.729930
2021-10-27,13.800000,13.900000,13.800000,13.850000,0.836653,0.362320
2021-10-28,13.700000,13.950000,13.700000,13.950000,1.135652,0.722018
2021-10-31,13.900000,13.900000,13.700000,13.750000,0.183089,-1.433690
2021-11-01,13.850000,13.900000,13.750000,13.850000,1.599658,0.727276
2021-11-02,13.850000,14.000000,13.850000,14.000000,2.770801,1.083030
2021-11-03,14.000000,14.100000,13.850000,13.950000,3.489178,-0.357144
2021-11-04,13.950000,14.150000,13.950000,14.050000,1.745360,0.716849
2021-11-07,14.150000,14.200000,14.050000,14.200000,0.796786,1.067613
2021-11-08,14.150000,14.250000,14.150000,14.200000,1.774268,0.000000
2021-11-09,14.200000,14.200000,14.100000,14.150000,0.875897,-0.352114
2021-11-10,14.150000,14.150000,13.850000,13.900000,0.909560,-1.766784
2021-11-11,13.950000,14.250000,13.900000,14.250000,1.262337,2.517988
2021-11-14,14.200000,14.200000,14.050000,14.200000,0.725213,-0.350879
2021-11-15,14.200000,14.200000,13.950000,14.200000,1.028950,0.000000
2021-11-16,14.200000,14.200000,13.850000,14.200000,1.605624,0.000000
2021-11-17,13.950000,14.200000,13.950000,14.200000,1.967816,0.000000
2021-11-18,14.200000,14.250000,13.950000,14.200000,1.521914,0.000000
2021-11-21,14.200000,14.200000,14.150000,14.150000,1.409677,-0.352114
2021-11-22,14.150000,14.150000,13.650000,13.650000,3.179282,-3.533569
2021-11-23,13.650000,13.850000,13.400000,13.400000,1.611824,-1.831502
2021-11-24,13.450000,13.450000,13.250000,13.300000,2.191184,-0.746264
2021-11-25,13.350000,13.400000,13.100000,13.150000,3.429129,-1.127824
2021-11-28,13.150000,13.150000,13.150000,13.150000,0.000000,0.000000
2021-11-29,13.150000,13.150000,13.150000,13.150000,0.000000,0.000000
2021-11-30,13.150000,13.300000,12.750000,13.200000,7.991657,0.380230
2021-12-01,13.200000,13.200000,13.200000,13.200000,0.000000,0.000000
2021-12-02,13.200000,13.200000,13.200000,13.200000,0.000000,0.000000
2021-12-05,13.150000,13.400000,13.150000,13.350000,1.506080,1.136368
2021-12-06,13.350000,13.750000,13.250000,13.600000,3.953482,1.872659
2021-12-07,13.700000,13.800000,13.450000,13.450000,1.741204,-1.102945
2021-12-08,13.450000,13.850000,13.450000,13.750000,2.825534,2.230485
2021-12-09,13.750000,13.900000,13.600000,13.900000,1.999538,1.090906
2021-12-12,13.750000,13.900000,13.750000,13.850000,0.806064,-0.359707
2021-12-13,13.800000,14.000000,13.700000,13.900000,2.355777,0.361005
2021-12-14,13.850000,14.150000,13.700000,14.150000,2.931538,1.798561
2021-12-15,14.050000,14.100000,13.850000,14.000000,1.370432,-1.060068
2021-12-16,14.050000,14.150000,13.950000,14.150000,5.442170,1.071426
2021-12-19,13.950000,14.050000,13.550000,13.550000,1.246649,-4.240279
2021-12-20,13.600000,13.900000,13.450000,13.900000,2.085244,2.583022
2021-12-21,13.900000,13.900000,13.400000,13.450000,1.257414,-3.237409
2021-12-22,13.650000,13.650000,13.050000,13.100000,1.918715,-2.602226
2021-12-23,13.200000,13.550000,13.100000,13.550000,2.948262,3.435113
2021-12-26,13.550000,13.700000,13.550000,13.550000,0.128727,0.000000
2021-12-27,13.700000,13.700000,13.500000,13.650000,0.486588,0.738003
2021-12-28,13.800000,13.800000,13.550000,13.600000,0.718258,-0.366295
2021-12-29,13.500000,13.600000,13.400000,13.450000,1.797691,-1.102945
2021-12-30,13.500000,13.550000,13.250000,13.550000,1.411734,0.743497
2022-01-02,13.550000,13.550000,13.550000,13.550000,0.000000,0.000000
2022-01-03,13.600000,13.700000,13.400000,13.600000,7.568903,0.369005
2022-01-04,13.600000,13.750000,13.550000,13.750000,1.648682,1.102938
2022-01-05,13.650000,13.750000,13.550000,13.750000,1.479204,0.000000
2022-01-06,13.450000,13.650000,13.450000,13.500000,3.025722,-1.818182
2022-01-09,13.400000,13.400000,13.400000,13.400000,0.000000,-0.740744
2022-01-10,13.400000,13.400000,13.400000,13.400000,0.000000,0.000000
2022-01-11,13.450000,13.500000,13.100000,13.250000,3.000460,-1.119400
2022-01-12,13.300000,13.400000,13.000000,13.150000,3.997724,-0.754720
2022-01-13,13.150000,13.300000,13.000000,13.300000,2.762247,1.140689
2022-01-17,13.200000,13.300000,12.850000,12.850000,2.355489,-3.383457
2022-01-18,13.000000,13.100000,12.850000,12.950000,1.929706,0.778206
2022-01-19,12.950000,13.000000,12.800000,12.800000,3.338757,-1.158298
2022-01-20,12.800000,12.850000,12.650000,12.700000,2.723887,-0.781253
2022-01-24,13.200000,13.450000,13.200000,13.250000,2.437868,4.330710
2022-01-25,13.450000,13.500000,13.350000,13.500000,1.956931,1.886792
2022-01-26,13.650000,13.650000,13.350000,13.500000,2.523390,0.000000
2022-01-27,13.500000,13.500000,13.500000,13.500000,0.000000,0.000000
2022-01-31,13.400000,13.500000,13.200000,13.350000,9.737095,-1.111108
2022-02-01,13.400000,13.400000,13.050000,13.150000,3.369525,-1.498133
2022-02-02,13.400000,13.400000,13.100000,13.150000,1.535547,0.000000
2022-02-03,13.150000,13.200000,13.100000,13.150000,0.973162,0.000000
2022-02-07,13.200000,13.500000,13.200000,13.500000,2.385690,2.661600
